case,passed,samples,details
sensor_distance_stuck,0,14,distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1
sensor_approach_speed_stuck,1,14,OK
sensor_accel_x_stuck,0,14,accel_x.reliability=0 minimum=1
sensor_accel_y_stuck,1,14,OK
sensor_accel_z_stuck,1,14,OK
sensor_gyro_x_stuck,0,14,gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1
sensor_gyro_y_stuck,0,14,gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1
sensor_gyro_z_stuck,1,14,OK
sensor_timeout_global,0,7,"distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=1 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2 | distance.reliability=1 expected=2, approach_speed.reliability=1 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=1 expected=2, gyro_z.reliability=1 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2"
