case,passed,samples,details
sensor_gyro_x_stuck,0,13,gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1
sensor_gyro_y_stuck,0,13,gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1 | gyro_y.reliability=0 minimum=1
sensor_timeout_global,0,7,"distance.reliability=0 expected=2 | distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=0 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=0 expected=2, humidity.reliability=0 expected=2, lux.reliability=0 expected=2 | distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=0 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=0 expected=2, humidity.reliability=0 expected=2, lux.reliability=0 expected=2 | distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=0 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=0 expected=2, humidity.reliability=0 expected=2, lux.reliability=0 expected=2 | distance.reliability=0 expected=2 | distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=0 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=0 expected=2, humidity.reliability=0 expected=2, lux.reliability=0 expected=2 | distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=0 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=0 expected=2, humidity.reliability=0 expected=2, lux.reliability=0 expected=2"
